event_id,title,organizer,organizer_email,categories,tags,start_date,end_date,timezone,all_day,venue,cost,is_virtual,description,image_url,url
223185,CUSID WGM Championship,UW Debate Society,debateuw@gmail.com,Clubs Events,,2026-03-29 00:00:00,2026-03-30 23:59:59,EDT,True,"200 University Avenue West Waterloo, ON, Canada  N2L 3G1, Waterloo, N2L 3G1",&#036;150.00,False,"All ticket purchasers are required to fill out this waiver in order to participate in this event: https://wusa.ca/waiver/cusid-wgm-championship/ This year’s Canadian British Parliamentary Women and Gender Minorities Championship. We will be hosting the tournament both in person on the University of Waterloo campus and online on Discord from March 28th–29th. Debates will be held in British Parliamentary (BP) format, where speeches will be seven minutes in length. All motions will be impromptu with fifteen minutes of preparation allowed before each round.",https://wusa.ca/wp-content/uploads/2026/03/WGM_Logo.png,https://wusa.ca/event/cusid-wgm-championship/
215405,Know Your Rights: WRCLS Tenancy Legal Session #2,,,"Advocacy, Housing, Off-Campus Housing","@yourwusa, Advocacy, Events, uw students",2026-03-30 17:00:00,2026-03-30 20:30:00,EDT,False,,Free,True,"Finding a place to live as a student can be overwhelming, from rising rent costs and unclear lease terms to questions about maintenance, deposits, and additional fees. Understanding your rights as a tenant is essential to protecting yourself and avoiding unnecessary stress. But you don’t have to figure it out alone. WUSA is here to help. We’ve teamed up with Waterloo Region Community Legal Services (WRCLS) to offer free virtual (Zoom) legal support clinics to help you get the clarity you need. What to Expect: 50-minute presentation covering key tenancy laws and common issues students face 10-minute Q&A session to ask general legal questions Five private 30-minute one-on-one consultations with a qualified WRCLS lawyer following the presentation (limited availability) To sign up for a one-on-one consultation, email David at drkuhn@wusa.ca with the subject line “WCRLS Legal Session: Consultation Booking” with your name and request to book a consultation. Spots for the one-on-one consultations are limited! To attend the presentation on the 30th, click the Zoom Link: https://us02web.zoom.us/j/82810623651 👉To sign up for the presentation and Q&A session, RSVP to save your spot. If you’ve got any questions or need some guidance, this is a great chance to get answers. We’re here to help you understand your rights and avoid any unnecessary surprises when it comes to renting.",https://wusa.ca/wp-content/uploads/2026/02/student-tenancy-legal-session-Web-Event.png,https://wusa.ca/event/know-your-rights-wrcls-tenancy-legal-session-2/
222141,Stand Up Comedy Night,Stand-up Club,standupclub@clubs.wusa.ca,,,2026-03-30 18:30:00,2026-03-30 20:30:00,EDT,False,"SLC  Multi-Purpose Room (MPR), 200 University Ave W, Waterloo, Ontario, N2L 3G1, Canada",,False,We’re bringing you stand-up comedy featuring professional and amateur comedians from across the GTA! Free entry and seats are first-come first-serve!,https://wusa.ca/wp-content/uploads/2026/03/option1_stand-up-comedy-empty-stage-e1773914017790.jpg,https://wusa.ca/event/stand-up-comedy-night/
210162,Monday Funday,Glow Centre for Sexual and Gender Diversity (GLOW),,Glow Centre,"#GlowTogether, #MondayFunday, #wusaglow, 2slgbtq+ community, Events, Fun, Glow Centre, Glow centre for sexual and gender diversity",2026-03-30 19:00:00,2026-03-30 22:00:00,EDT,False,"Glow Centre, 200 University Ave W, SLC 3103, Waterloo, Ontario, N2L 3G1, Canada",,False,"Got nothing going on Monday night? Come hang at GLOW’s Monday Funday 🌈 It’s a chill, once-a-month social night where you can meet people and just chill after a long day of classes. Drop in with friends, come solo, craft a bit, chat a bit, or just sit and vibe. It’s meant to be cozy, low-stress, and welcoming to all. 🌈 March 30: Clothing Swap! We’re collecting gently used clothing — bring something you’re ready to pass on. Everyone who donates will receive a ticket to trade for an item. ♻️✨Refresh your wardrobe, reduce waste, and connect with community. 📍 Glow Centre (SLC 3103)🕖 7–10 PM🗓️ First Monday of each month – Jan 19 – Apr 6, 2026 Drop by and chill with us 🌈🫶 ⚠️ Accessibility note: If you require accommodations or support to participate, please contact us in advance. Questions related to the event? Email internal.glow@wusa.ca Event is subject to change. Visit this page for the most up to date details.",https://wusa.ca/wp-content/uploads/2026/01/MondayFunday_Web-scaled.png,https://wusa.ca/event/monday-funday/
214211,AFSA x Deloitte,AFSA External Relations,vp.external@uwafsa.com,Clubs Events,,2026-03-31 16:30:00,2026-03-31 19:30:00,EDT,False,AL,Free,False,Registration : 5:00pm – 5:30pm Panel : 5:30pm – 6:00pm Food + Network : 6:00pm – 7:00pm,https://wusa.ca/wp-content/uploads/2026/02/deloite-img-e1771879026136.png,https://wusa.ca/event/afsa-x-deloitte/
213544,Trivia Night,Waterloo Undergraduate Student Association (WUSA),events@wusa.ca,"Entertainment, The Bomber","@yourwusa, #TriviaNight, Events, Fun, Pop Culture, Trivia Time, uw undergrads, WUSA",2026-03-31 19:00:00,2026-03-31 21:00:00,EDT,False,The Bomber,Free,False,"Think you’ve got what it takes to be crowned trivia champ? 👑 Grab your friends—or join a table when you arrive—and get ready for a night full of laughs, friendly competition, and your shot at $150 in Uptown Dollars gift cards for the winning team of each of the 3 rounds!🏆 📍 Where: The Bomber 🗓️ When: Tuesday, March 31 | 7–9 PM Trivia topics include: 🎬 Pop Culture & Film🎵 Music📺 TV🍿 Snacks & More! This free, all-ages event is open to all Waterloo undergrads — it’s all about good vibes and community. 💛🖤 Come play, learn, and connect! Refreshments will be available while supplies last! 👇 RSVP your spot below! 🎉 Spaces are limited, so secure your spot now for a night of trivia, laughs, and prizes! 👑 . 👉 Mark your calendars, rally your crew, and get ready to show off your trivia skills! See you there! 🎟️ WatCard required for entry ⚠️ Accessibility: If you require any accommodations to fully participate in this event, please reach out to us. 🕔 RSVPs open Wednesday, Mar 4 at 9 AM and close Tuesday, March 31 at 7 PM, or once spots are full. A few spots will be available at the door—arrive early to grab one! About the Host Becca is an award winning entertainer that has over a decade of experience performing. She began hosting trivia and bingo games in 2017 at a local brewery. In 2020, she started streaming trivia games online during lockdown and gained a loyal following. After a few months, she decided to start her own business, BeccaHosts Entertainment that has since kept her busy in the KW Region and beyond. Stay in the loop—follow our socials and join our IG broadcast channel for exclusive event updates! Questions related to the event? Email events@wusa.ca Leaving trivia after dark? You don’t have to walk alone. WUSA’s new WalkSafe program pairs students with trained volunteers to walk with you across campus in the evening. It’s free, friendly, and made just for students like you. Learn more or request a walk at WalkSafe – Waterloo Undergraduate Student Association Disclaimer: Photographers & videographers will record this event. Images and audio may be broadcast, reproduced and/or made available in print publications, online or on mobile devices, and may form part of one or more audio-visual productions intended for initial release on the internet, television and on home or mobile devices. By attending this event, you are consenting to the use of your appearance, image, and voice in the production and in any promotion or use of the production in any media throughout the world. Event is subject to change. Visit this page for the most up to date details.",https://wusa.ca/wp-content/uploads/2026/01/TriviaNight_web.png,https://wusa.ca/event/trivia_night/
224832,Student Food & Cooking Workshop Session #1,,,"Advocacy, Food Event, Food Support Service","@yourwusa, Advocacy, affordability, affordable pricing, Events, Fun, student advocacy, WUSA",2026-04-01 10:30:00,2026-04-01 12:30:00,EDT,False,SLC Black &amp; Gold Room,Free,False,"FREE FOOD. FREE STUFF. FREE FUN 👀🔥 Join our interactive cooking workshop where you’ll: ✨ Watch a live cooking demo ✨ Taste the food (yes, FREE samples 😋) ✨ Learn easy, budget-friendly meals you’ll actually make And the best part… 👇 🥕 FREE mini grocery bag + recipe card (make the meal at home!) 💳 Chance to win a grocery gift card! Discover student-friendly food resources to help you eat better for less. Plus, get real tips from a registered dietitian, whether you’re trying to hit your protein goals, save money, or eat healthier, we’ve got you covered. 👉 Spots are limited, sign up now. Event Details Date: April 1Location: Black and Gold RoomTime:Session 1: 10:30 AM – 12:30 PMSession 2: 1:30 PM – 3:30 PM Cost: Free Register below to enter into the raffle and secure your spot! Drop-ins are also welcomed!",https://wusa.ca/wp-content/uploads/2026/03/Event-Web-Header-W26-Student-Food-Support-Cooking-Workshop.png,https://wusa.ca/event/student-food-cooking-workshop/
207311,Thrift EOT Sale,WUSA Thrift,,WUSA Thrift,"affordable pricing, pre loved clothing, shop sustainable, Sustainable Fashion, thrift sale, Thrifting, WUSA Thrift",2026-04-01 11:00:00,2026-04-01 14:00:00,EDT,False,"SLC  Multi-Purpose Room (MPR), 200 University Ave W, Waterloo, Ontario, N2L 3G1, Canada",,False,"We’re stocked up, from hoodies to sweaters and pants, we’ve got you. Drop by and find affordable basics, comfort pieces, and outfits for the rest of the term. 🕚 April 1 | 11 am – 2 pm 📍 Location: SLC Multi-Purpose Room Questions related to the event? DM us on Instagram @wusathrift. Disclaimer: Photographers & videographers will record this event. Images and audio may be broadcast, reproduced and/or made available in print publications, online or on mobile devices, and may form part of one or more audio-visual productions intended for initial release on the internet, television and on home or mobile devices. By attending this event, you are consenting to the use of your appearance, image, and voice in the production and in any promotion or use of the production in any media throughout the world. Event is subject to change. Visit this page for the most up to date details.",https://wusa.ca/wp-content/uploads/2023/03/Sidewalk-Sale_Web.png,https://wusa.ca/event/thrift-eot-sale/
226363,Student Food and Cooking Workshop Session #2,,,"Advocacy, Food Event, Food Support Service, ICSN, Mates","@yourwusa, Advocacy, affordability, Events",2026-04-01 13:30:00,2026-04-01 15:30:00,EDT,False,,Free,False,"FREE FOOD. FREE STUFF. FREE FUN 👀🔥 Join our interactive cooking workshop where you’ll: ✨ Watch a live cooking demo ✨ Taste the food (yes, FREE samples 😋) ✨ Learn easy, budget-friendly meals you’ll actually make And the best part… 👇 🥕 FREE mini grocery bag + recipe card (make the meal at home!) 💳 Chance to win a grocery gift card! Discover student-friendly food resources to help you eat better for less. Plus, get real tips from a registered dietitian, whether you’re trying to hit your protein goals, save money, or eat healthier, we’ve got you covered. 👉 Spots are limited, sign up now. Event Details Date: April 1Location: Black and Gold RoomTime: 1:30 PM – 3:30 PM Cost: Free Register below to enter into the raffle and secure your spot! Drop-ins are also welcomed!",https://wusa.ca/wp-content/uploads/2026/03/Event-Web-Header-W26-Student-Food-Support-Cooking-Workshop.png,https://wusa.ca/event/student-food-and-cooking-workshop-session-2/
223756,Fairy Jar Workshop,Crafts 4 Charity,,,,2026-04-02 18:00:00,2026-04-02 20:00:00,EDT,False,"STC 0020, 200 University Ave W, Waterloo, N2L 3G1",&#036;8.00,False,"Crafts4Chairty is hosting a fairy jar event. Attendees will be decorating and sticking dried flowers to the sides of clear glass jars with fairy lights inside. Please note: Tickets are $8 if you require a jar and $6 if you bring your own. If you choose to bring your own jar please ensure it is roughly 8oz. Tickets are non-refundable, a jar cannot be provided if participants forget to bring them as there will be a limited number reserved.",,https://wusa.ca/event/fairy-jar-workshop/
